Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1mmq_cleaned_4133_uff_E=86.76,-6.1,0.0,0.0
1mmq_cleaned_4133_uff_E=86.76,-6.1,2.153,1.089
1mmq_cleaned_4133_uff_E=86.76,-6.1,1.324,0.767
1mmq_cleaned_4133_uff_E=86.76,-5.4,4.095,1.777
1mmq_cleaned_4133_uff_E=86.76,-4.8,3.203,2.344
1mmq_cleaned_4133_uff_E=86.76,-4.7,4.02,1.593
1mmq_cleaned_4133_uff_E=86.76,-4.6,4.955,3.389
1mmq_cleaned_4133_uff_E=86.76,-4.6,3.251,2.322
1mmq_cleaned_4133_uff_E=86.76,-4.6,24.473,23.853
1mmq_cleaned_6781_uff_E=233.48,-6.0,0.0,0.0
1mmq_cleaned_6781_uff_E=233.48,-5.9,4.36,0.385
1mmq_cleaned_6781_uff_E=233.48,-4.6,4.9,1.785
1mmq_cleaned_6781_uff_E=233.48,-4.6,4.442,2.029
1mmq_cleaned_6781_uff_E=233.48,-4.6,4.858,1.576
1mmq_cleaned_6781_uff_E=233.48,-4.6,17.925,15.83
1mmq_cleaned_6781_uff_E=233.48,-4.5,7.223,4.349
1mmq_cleaned_6781_uff_E=233.48,-4.5,8.697,4.774
1mmq_cleaned_6781_uff_E=233.48,-4.5,15.173,11.886
1mmq_cleaned_74049_uff_E=87.59,-4.1,0.0,0.0
1mmq_cleaned_74049_uff_E=87.59,-4.0,3.177,2.412
1mmq_cleaned_74049_uff_E=87.59,-3.9,3.493,2.308
1mmq_cleaned_74049_uff_E=87.59,-3.7,3.689,2.737
1mmq_cleaned_74049_uff_E=87.59,-3.7,4.941,3.894
1mmq_cleaned_74049_uff_E=87.59,-3.5,18.154,17.186
1mmq_cleaned_74049_uff_E=87.59,-3.3,18.098,17.198
1mmq_cleaned_74049_uff_E=87.59,-3.3,18.638,17.977
1mmq_cleaned_74049_uff_E=87.59,-3.3,18.42,17.676
1mmq_cleaned_80252_uff_E=39.89,-3.8,0.0,0.0
1mmq_cleaned_80252_uff_E=39.89,-3.8,2.01,0.899
1mmq_cleaned_80252_uff_E=39.89,-3.8,1.881,1.349
1mmq_cleaned_80252_uff_E=39.89,-3.7,3.007,1.509
1mmq_cleaned_80252_uff_E=39.89,-3.5,2.954,1.294
1mmq_cleaned_80252_uff_E=39.89,-3.5,2.886,1.239
1mmq_cleaned_80252_uff_E=39.89,-3.5,3.38,2.572
1mmq_cleaned_80252_uff_E=39.89,-3.4,11.578,9.975
1mmq_cleaned_80252_uff_E=39.89,-3.3,24.807,24.205
